Portfolio Name,As of Date,MGREX,FTSE EPRA Nareit Developed Real Estate Net Total Return Index
Global Real Estate Portfolio,09/30/2023,"10,990.01","12,473.07"
Global Real Estate Portfolio,08/31/2023,"11,644.50","13,284.78"
Global Real Estate Portfolio,07/31/2023,"11,971.75","13,745.70"
Global Real Estate Portfolio,06/30/2023,"11,589.96","13,246.70"
Global Real Estate Portfolio,05/31/2023,"11,262.72","12,861.23"
Global Real Estate Portfolio,04/30/2023,"11,780.86","13,463.93"
Global Real Estate Portfolio,03/31/2023,"11,508.15","13,214.47"
Global Real Estate Portfolio,02/28/2023,"11,726.32","13,659.34"
Global Real Estate Portfolio,01/31/2023,"12,108.10","14,289.97"
Global Real Estate Portfolio,12/31/2022,"11,153.63","13,112.33"
Global Real Estate Portfolio,11/30/2022,"11,494.89","13,488.68"
Global Real Estate Portfolio,10/31/2022,"10,723.00","12,637.82"
Global Real Estate Portfolio,09/30/2022,"10,430.93","12,271.49"
Global Real Estate Portfolio,08/31/2022,"11,891.26","14,012.21"
Global Real Estate Portfolio,07/31/2022,"12,725.74","14,984.52"
Global Real Estate Portfolio,06/30/2022,"11,870.40","13,879.12"
Global Real Estate Portfolio,05/31/2022,"13,017.81","15,200.60"
Global Real Estate Portfolio,04/30/2022,"13,768.83","15,891.39"
Global Real Estate Portfolio,03/31/2022,"14,540.72","16,812.42"
Global Real Estate Portfolio,02/28/2022,"13,956.59","16,090.91"
Global Real Estate Portfolio,01/31/2022,"14,332.10","16,498.14"
Global Real Estate Portfolio,12/31/2021,"15,083.13","17,503.83"
Global Real Estate Portfolio,11/30/2021,"14,107.34","16,461.63"
Global Real Estate Portfolio,10/31/2021,"14,505.36","16,838.71"
Global Real Estate Portfolio,09/30/2021,"13,812.52","15,888.79"
Global Real Estate Portfolio,08/31/2021,"14,608.54","16,867.00"
Global Real Estate Portfolio,07/31/2021,"14,520.10","16,648.25"
Global Real Estate Portfolio,06/30/2021,"14,092.60","16,033.55"
Global Real Estate Portfolio,05/31/2021,"13,959.93","15,908.97"
Global Real Estate Portfolio,04/30/2021,"13,665.11","15,629.02"
Global Real Estate Portfolio,03/31/2021,"12,795.38","14,686.48"
Global Real Estate Portfolio,02/28/2021,"12,485.81","14,279.39"
Global Real Estate Portfolio,01/31/2021,"12,058.31","13,769.52"
Global Real Estate Portfolio,12/31/2020,"12,161.50","13,881.74"
Global Real Estate Portfolio,11/30/2020,"11,811.90","13,411.63"
Global Real Estate Portfolio,10/31/2020,"9,970.33","11,848.32"
Global Real Estate Portfolio,09/30/2020,"10,401.95","12,256.13"
Global Real Estate Portfolio,08/31/2020,"10,776.02","12,649.75"
Global Real Estate Portfolio,07/31/2020,"10,459.50","12,338.75"
Global Real Estate Portfolio,06/30/2020,"10,416.34","12,005.52"
Global Real Estate Portfolio,05/31/2020,"10,128.59","11,704.48"
Global Real Estate Portfolio,04/30/2020,"10,387.56","11,677.36"
Global Real Estate Portfolio,03/31/2020,"9,538.72","10,907.24"
Global Real Estate Portfolio,02/29/2020,"12,804.61","14,121.30"
Global Real Estate Portfolio,01/31/2020,"13,969.98","15,389.63"
Global Real Estate Portfolio,12/31/2019,"14,200.17","15,261.20"
Global Real Estate Portfolio,11/30/2019,"13,921.44","15,186.14"
Global Real Estate Portfolio,10/31/2019,"13,999.73","15,373.95"
Global Real Estate Portfolio,09/30/2019,"13,725.73","14,999.00"
Global Real Estate Portfolio,08/31/2019,"13,282.13","14,654.31"
Global Real Estate Portfolio,07/31/2019,"13,360.41","14,384.86"
Global Real Estate Portfolio,06/30/2019,"13,503.93","14,335.18"
Global Real Estate Portfolio,05/31/2019,"13,373.46","14,114.57"
Global Real Estate Portfolio,04/30/2019,"13,621.35","14,155.69"
Global Real Estate Portfolio,03/31/2019,"13,751.83","14,345.08"
Global Real Estate Portfolio,02/28/2019,"13,360.41","13,858.46"
Global Real Estate Portfolio,01/31/2019,"13,347.36","13,878.92"
Global Real Estate Portfolio,12/31/2018,"11,990.45","12,518.44"
Global Real Estate Portfolio,11/30/2018,"12,872.30","13,256.00"
Global Real Estate Portfolio,10/31/2018,"12,419.80","12,781.18"
Global Real Estate Portfolio,09/30/2018,"13,003.28","13,273.74"
Global Real Estate Portfolio,08/31/2018,"13,312.89","13,553.18"
Global Real Estate Portfolio,07/31/2018,"13,193.81","13,425.53"
Global Real Estate Portfolio,06/30/2018,"13,055.78","13,313.21"
Global Real Estate Portfolio,05/31/2018,"12,822.02","13,126.08"
Global Real Estate Portfolio,04/30/2018,"12,681.76","12,913.31"
Global Real Estate Portfolio,03/31/2018,"12,459.68","12,664.81"
Global Real Estate Portfolio,02/28/2018,"12,155.79","12,375.52"
Global Real Estate Portfolio,01/31/2018,"13,055.78","13,264.74"
Global Real Estate Portfolio,12/31/2017,"13,009.03","13,265.84"
Global Real Estate Portfolio,11/30/2017,"12,783.71","13,097.49"
Global Real Estate Portfolio,10/31/2017,"12,332.26","12,743.31"
Global Real Estate Portfolio,09/30/2017,"12,431.36","12,805.21"
Global Real Estate Portfolio,08/31/2017,"12,398.33","12,847.90"
Global Real Estate Portfolio,07/31/2017,"12,464.39","12,831.08"
Global Real Estate Portfolio,06/30/2017,"12,266.19","12,601.97"
Global Real Estate Portfolio,05/31/2017,"12,156.08","12,509.01"
Global Real Estate Portfolio,04/30/2017,"12,134.06","12,401.99"
Global Real Estate Portfolio,03/31/2017,"12,056.99","12,269.05"
Global Real Estate Portfolio,02/28/2017,"12,244.17","12,461.87"
Global Real Estate Portfolio,01/31/2017,"11,913.84","12,085.53"
Global Real Estate Portfolio,12/31/2016,"11,847.78","12,020.50"
Global Real Estate Portfolio,11/30/2016,"11,526.57","11,680.49"
Global Real Estate Portfolio,10/31/2016,"11,706.68","12,008.38"
Global Real Estate Portfolio,09/30/2016,"12,405.90","12,732.90"
Global Real Estate Portfolio,08/31/2016,"12,533.03","12,861.23"
Global Real Estate Portfolio,07/31/2016,"12,829.67","13,206.28"
Global Real Estate Portfolio,06/30/2016,"12,225.80","12,575.61"
Global Real Estate Portfolio,05/31/2016,"11,886.78","12,137.29"
Global Real Estate Portfolio,04/30/2016,"11,918.56","12,142.90"
Global Real Estate Portfolio,03/31/2016,"12,003.32","12,154.97"
Global Real Estate Portfolio,02/29/2016,"10,933.30","11,102.77"
Global Real Estate Portfolio,01/31/2016,"10,922.70","11,055.73"
Global Real Estate Portfolio,12/31/2015,"11,452.41","11,551.03"
Global Real Estate Portfolio,11/30/2015,"11,414.77","11,457.44"
Global Real Estate Portfolio,10/31/2015,"11,757.84","11,717.55"
Global Real Estate Portfolio,09/30/2015,"11,092.50","11,086.58"
Global Real Estate Portfolio,08/31/2015,"10,957.35","10,962.03"
Global Real Estate Portfolio,07/31/2015,"11,685.07","11,656.08"
Global Real Estate Portfolio,06/30/2015,"11,331.61","11,270.28"
Global Real Estate Portfolio,05/31/2015,"11,789.03","11,739.38"
Global Real Estate Portfolio,04/30/2015,"11,924.18","11,915.02"
Global Real Estate Portfolio,03/31/2015,"12,038.53","12,105.58"
Global Real Estate Portfolio,02/28/2015,"12,038.53","12,140.14"
Global Real Estate Portfolio,01/31/2015,"12,028.14","12,215.15"
Global Real Estate Portfolio,12/31/2014,"11,549.92","11,643.22"
Global Real Estate Portfolio,11/30/2014,"11,525.37","11,600.27"
Global Real Estate Portfolio,10/31/2014,"11,525.37","11,505.96"
Global Real Estate Portfolio,09/30/2014,"10,801.21","10,791.93"
Global Real Estate Portfolio,08/31/2014,"11,464.17","11,512.90"
Global Real Estate Portfolio,07/31/2014,"11,300.98","11,345.72"
Global Real Estate Portfolio,06/30/2014,"11,249.99","11,311.39"
Global Real Estate Portfolio,05/31/2014,"11,117.39","11,169.49"
Global Real Estate Portfolio,04/30/2014,"10,740.01","10,827.90"
Global Real Estate Portfolio,03/31/2014,"10,423.83","10,510.45"
Global Real Estate Portfolio,02/28/2014,"10,403.43","10,505.21"
Global Real Estate Portfolio,01/31/2014,"9,954.66","10,094.21"
Global Real Estate Portfolio,12/31/2013,"10,107.65","10,122.61"
Global Real Estate Portfolio,11/30/2013,"10,079.92","10,111.03"
Global Real Estate Portfolio,10/31/2013,"10,359.64","10,475.59"
Global Real Estate Portfolio,09/30/2013,"10,149.85","10,189.41"
Global Real Estate Portfolio,09/13/2013,"10,000.00","10,000.00"